Code;y1960;y1964;y1968;y1972;y1976;y1980;y1984;y1988;y1992;y1996;y2000;y2004;y2008
DEN;000005,022269398;000002,541257312;000003,288876629;000000,200336726;000001,577101744;000001,561576779;000002,934491010;000001,364651168;000002,707212982;000004,560072688;000004,681984622;000005,365875952;000003,276527449
DJI;;;;;;;;000001,911073909;;;;;
DOM;;;;;;;000000,157441339;;;;;000000,109853931;000000,207544427
ECU;;;;;;;;;;000000,085590937;;;000000,069215648
EGY;000000,073875985;;;;;;000000,020806655;;;;;000000,067938412;000000,012662055
ERI;;;;;;;;;;;;000000,246005002;
ESP;000000,459694631;;;000000,028983235;000000,166947523;000000,641042164;000000,496361215;000000,129146077;000001,689373164;000001,697139782;000001,067972315;000000,629049579;000001,545019720
EST;;;;;;;;;000001,956831004;;000002,147481899;000002,201754064;000002,243678436
ETH;000000,045144244;000000,040988705;000000,074224009;000000,066367995;;000000,113507462;;;000000,058136407;000000,050781688;000000,120402863;000000,093950937;000000,084256536
EUA;000001,208543856;000001,526852618;;;;;;;;;;;
EUN;;;;;;;;;000001,499774698;;;;
FIN;000001,354513714;000001,099253101;000000,864590252;000002,155331741;000001,269662845;000001,883028370;000002,458108203;000000,808655689;000001,388340164;000000,780552838;000000,965957905;000000,382542885;000000,941017228
FRA;000000,234971255;000000,626903423;000000,526561580;000000,415413910;000000,366693299;000000,524025844;000001,204162812;000000,501413589;000000,968544133;000000,853512231;000001,083521480;000000,845229042;000001,180582708
FRG;;;000000,633940551;000001,220001125;000000,957402605;;000002,016473820;000001,446036867;;;;;
GBR;000000,534351145;000000,518518519;000000,326017855;000000,517062482;000000,569273789;000000,799087747;000001,276096348;000000,930995214;000000,868351006;000000,446989227;000000,933904774;000000,950191543;000001,245813682
GDR;;;000000,659815675;000001,880835068;000002,450950669;000003,321046483;;000002,226640839;;;;;
GEO;;;;;;;;;;000000,433266177;000001,357988367;000000,926290438;000001,368675578
GER;;;;;;;;;000002,455826198;000001,513767391;000001,447485916;000001,805704718;000001,230055787
GHA;000000,150324287;000000,133097555;;000000,110088814;;;;;000000,840253195;;;;
GRE;000000,360069493;;000000,114406462;000000,225006604;;000000,518537455;000000,202105924;000000,099631533;000000,192866523;000000,747023136;000001,648731823;000002,803976110;000000,625757670
GUY;;;;;;000001,271271551;;;;;;;
HKG;;;;;;;;;;000000,155388082;;000000,294833051;
HUN;000006,510438186;000005,533687061;000007,897958378;000007,789593276;000005,189326932;000005,695014957;;000004,152319538;000004,339716478;000004,170207302;000005,190495595;000003,957595943;000002,689728465
INA;;;;;;;;000000,017142767;000000,031955331;000000,030011012;000000,037817830;000000,022394550;000000,029741576
IND;000000,028910612;000000,030757236;000000,028287224;000000,024146231;;000000,022947960;;;;000000,001021148;000000,000949234;000000,000887769;000000,002506119
IOP;;;;;;;;;000000,446899146;;;;
IRI;000000,182590832;000000,082277169;000000,184959507;000000,099754454;000000,059278174;;;000000,018855139;000000,051608376;000000,048934347;000000,060744058;000000,086552668;000000,027574533
IRL;;000000,348851407;;;;000000,879043601;000000,283091804;;000000,562045621;000001,099653334;000000,262800072;;000000,668219311
IRQ;000000,137178746;;;;;;;;;;;;
ISL;;;;;;;000004,175173583;;;;000003,556124535;;000044,106435130
ISR;;;;;;;;;000000,390396252;000000,175685172;000000,159007791;000000,293728888;000000,136821366
ISV;;;;;;;;000009,569377990;;;;;
ITA;000001,752998524;000000,967579320;000000,601099825;000000,459716471;000000,556370569;000000,655634488;000001,113532248;000000,512102501;000000,809900691;000001,248674800;000001,141510251;000001,768213952;000000,713961141
JAM;;;000000,548333997;000000,519436806;000000,981491042;000001,406469761;000002,631694373;000002,121880835;000001,650816081;000006,374697550;000008,882404305;000004,935187698;000006,362432605
JPN;000000,313511575;000000,654222804;000000,662965931;000000,522446543;000000,363568648;;000000,408272093;000000,163114841;000000,378333561;000000,341929276;000000,339001758;000000,735748781;000000,398241491
KAZ;;;;;;;;;;000000,706128826;000000,470315500;000000,532872044;000000,829399005
KEN;;000000,108693785;000001,142612297;000000,993117283;;;000000,158373199;000000,410977595;000000,319619602;000000,284535223;000000,225328029;000000,203267024;000000,366066264
KGZ;;;;;;;;;;;000000,204148293;;000000,376031737
